Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-15 16:38:49.099 -0500,"Failure",0:00:22,1,2,0,"20231115_163849.099/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",2
2023-11-15 16:40:38.549 -0500,"Failure",0:00:32,1,2,0,"20231115_164038.549/LogFile.txt","","ûNõóÿõ4æ£B4ÙhPe¥0x",0
2023-11-15 16:41:58.092 -0500,"Aborted",0:00:56,1,0,0,"20231115_164158.092/LogFile.txt","","",0
2023-11-15 17:29:46.539 -0500,"Failure",0:00:18,1,0,0,"20231115_172946.539/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",3
2023-11-15 17:30:36.576 -0500,"Failure",0:00:32,1,0,0,"20231115_173036.576/LogFile.txt","","ûNõóÿõ4æ£B4ÙhPe¥0x",0
2023-11-15 17:35:26.813 -0500,"Failure",0:00:20,1,0,0,"20231115_173526.813/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 17:36:10.828 -0500,"Failure",0:00:02,1,0,0,"20231115_173610.828/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 17:40:03.637 -0500,"Failure",0:00:02,1,0,0,"20231115_174003.637/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 17:42:50.066 -0500,"Failure",0:00:04,1,0,0,"20231115_174250.066/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-15 17:43:18.816 -0500,"Failure",0:00:02,1,0,0,"20231115_174318.816/LogFile.txt","","SCPI ERROR -- -113,""Undefined header; CONFIGURE:RADIO:BLE:TEMPERATURE:*OPC?""",0
2023-11-15 17:44:19.573 -0500,"Failure",0:00:02,1,0,0,"20231115_174419.573/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-15 17:48:00.877 -0500,"Aborted",0:00:50,1,0,0,"20231115_174800.877/LogFile.txt","","",0
2023-11-15 17:49:40.604 -0500,"Failure",0:02:00,1,0,0,"20231115_174940.604/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 17:54:15.863 -0500,"Failure",0:01:39,1,0,0,"20231115_175415.863/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 17:56:54.087 -0500,"Failure",0:01:47,1,0,0,"20231115_175654.087/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 18:02:52.914 -0500,"Failure",0:02:23,1,0,0,"20231115_180252.914/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",9
2023-11-15 18:12:45.427 -0500,"Failure",0:00:02,1,0,0,"20231115_181245.427/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-15 18:13:02.971 -0500,"Failure",0:00:02,1,0,0,"20231115_181302.971/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-15 18:13:20.016 -0500,"Failure",0:00:02,1,0,0,"20231115_181320.016/LogFile.txt","","SCPI ERROR -- -400,""Query error; Query error found.""",0
2023-11-15 18:15:17.046 -0500,"Success",0:02:35,0,0,0,"20231115_181517.046/LogFile.txt","","",10
2023-11-15 18:19:22.639 -0500,"Success",0:00:58,0,0,0,"20231115_181922.639/LogFile.txt","","",10
2023-11-20 15:42:52.641 -0500,"Failure",0:00:04,1,0,0,"20231120_154252.641/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:VAL <value> failed. Failed to set temperature value""",0
2023-11-20 15:43:17.339 -0500,"Failure",0:00:04,1,0,0,"20231120_154317.339/LogFile.txt","","SCPI ERROR -- -100,""Command error; CONF:RAD:BLE:TEMP:UNIT <unit> failed. Failed to set battery percentage""",0
2023-11-20 15:56:11.434 -0500,"Aborted",0:02:03,1,0,0,"20231120_155611.434/LogFile.txt","","",0
